State,Date,Day,New_Case,Total_Case
Perak,25/03/2020,Wednesday,30,128
Selangor,25/03/2020,Wednesday,54,435
NSembilan,25/03/2020,Wednesday,14,123
Melaka,25/03/2020,Wednesday,2,33
Johor,25/03/2020,Wednesday,34,196
Pahang,25/03/2020,Wednesday,8,64
Terengganu,25/03/2020,Wednesday,0,38
Kelantan,25/03/2020,Wednesday,6,84
Sabah,25/03/2020,Wednesday,0,170
Sarawak,25/03/2020,Wednesday,2,85
WPKL,25/03/2020,Wednesday,13,270
WPP,25/03/2020,Wednesday,1,16
WPL,25/03/2020,Wednesday,0,5
Perlis,26/03/2020,Thursday,0,10
Kedah,26/03/2020,Thursday,3,72
PPinang,26/03/2020,Thursday,4,74
Perak,26/03/2020,Thursday,23,151
Selangor,26/03/2020,Thursday,75,510
NSembilan,26/03/2020,Thursday,9,132
Melaka,26/03/2020,Thursday,0,33
Johor,26/03/2020,Thursday,43,239
Pahang,26/03/2020,Thursday,2,66
Terengganu,26/03/2020,Thursday,1,39
Kelantan,26/03/2020,Thursday,10,94
Sabah,26/03/2020,Thursday,2,172
Sarawak,26/03/2020,Thursday,10,95
WPKL,26/03/2020,Thursday,51,321
WPP,26/03/2020,Thursday,2,18
WPL,26/03/2020,Thursday,0,5
Perlis,27/03/2020,Friday,0,10
Kedah,27/03/2020,Friday,1,73
PPinang,27/03/2020,Friday,6,80
Perak,27/03/2020,Friday,8,159
Selangor,27/03/2020,Friday,36,546
NSembilan,27/03/2020,Friday,6,138
Melaka,27/03/2020,Friday,0,33
Johor,27/03/2020,Friday,20,259
Pahang,27/03/2020,Friday,4,70
Terengganu,27/03/2020,Friday,2,41
Kelantan,27/03/2020,Friday,4,98
Sabah,27/03/2020,Friday,10,182
Sarawak,27/03/2020,Friday,15,110
WPKL,27/03/2020,Friday,16,323
WPP,27/03/2020,Friday,2,34
WPL,27/03/2020,Friday,0,5
Perlis,28/03/2020,Saturday,0,10
Kedah,28/03/2020,Saturday,1,74
PPinang,28/03/2020,Saturday,6,86
Perak,28/03/2020,Saturday,6,165
Selangor,28/03/2020,Saturday,33,579
NSembilan,28/03/2020,Saturday,15,153
Melaka,28/03/2020,Saturday,9,42
Johor,28/03/2020,Saturday,26,285
Pahang,28/03/2020,Saturday,14,84
Terengganu,28/03/2020,Saturday,4,45
Kelantan,28/03/2020,Saturday,10,108
Sabah,28/03/2020,Saturday,15,197
Sarawak,28/03/2020,Saturday,8,118
WPKL,28/03/2020,Saturday,7,344
WPP,28/03/2020,Saturday,0,20
WPL,28/03/2020,Saturday,5,10
